description,n
red heart,384
white heavy check mark,175
sparkles,154
right arrow,117
female sign,105
male sign,101
white medium star,95
soccer ball,73
double exclamation mark,69
heart suit,53
black large square,47
keycap,45
down arrow,43
sun,42
warning,37
baseball,34
raised fist,31
victory hand,31
high voltage,30
copyright,26
exclamation mark,25
up arrow,24
airplane,17
heavy heart exclamation,16
alarm clock,15
question mark,15
smiling face,15
hot beverage,14
heavy check mark,13
registered,13
white large square,12
black small square,11
play button,11
trade mark,11
cross mark,10
right arrow curving down,10
balance scale,8
ballot box with check,8
crossed swords,8
peace symbol,8
snowflake,8
telephone,8
white circle,8
anchor,7
latin cross,7
raised hand,7
skull and crossbones,7
frowning face,6
heavy large circle,6
shamrock,6
stopwatch,6
exclamation question mark,5
index pointing up,5
sun behind cloud,5
writing hand,5
coffin,4
wavy dash,4
fuel pump,3
heavy plus sign,3
pencil,3
Pisces,3
umbrella with rain drops,3
black medium square,2
curly loop,2
ferry,2
heavy minus sign,2
heavy multiplication x,2
recycling symbol,2
scissors,2
skier,2
spade suit,2
star of David,2
white exclamation mark,2
atom symbol,1
biohazard,1
black circle,1
church,1
cloud,1
club suit,1
comet,1
fleur-de-lis,1
funeral urn,1
hammer and pick,1
hourglass,1
ice skate,1
medical symbol,1
mountain,1
next track button,1
no entry,1
pause button,1
radioactive,1
umbrella,1
up-right arrow,1
watch,1
yin yang,1
NA,0
