,date,time,main,description
1,4/30/22,7:00:00 PM,Clear,clear sky
2,4/30/22,8:00:00 PM,Clear,clear sky
3,4/30/22,9:00:00 PM,Clouds,few clouds
4,4/30/22,10:00:00 PM,Clear,clear sky
5,4/30/22,11:00:00 PM,Clear,clear sky
6,5/1/22,12:00:00 AM,Clear,clear sky
7,5/1/22,1:00:00 AM,Clear,clear sky
8,5/1/22,2:00:00 AM,Clear,clear sky
9,5/1/22,3:00:00 AM,Clear,clear sky
10,5/1/22,4:00:00 AM,Clear,clear sky
11,5/1/22,5:00:00 AM,Clear,clear sky
12,5/1/22,6:00:00 AM,Clear,clear sky
13,5/1/22,7:00:00 AM,Clear,clear sky
14,5/1/22,8:00:00 AM,Clear,clear sky
15,4/29/22,7:00:00 PM,Clear,clear sky
16,4/29/22,8:00:00 PM,Clear,clear sky
17,4/29/22,9:00:00 PM,Clear,clear sky
18,4/29/22,10:00:00 PM,Clear,clear sky
19,4/29/22,11:00:00 PM,Clear,clear sky
20,4/30/22,12:00:00 AM,Clear,clear sky
21,4/30/22,1:00:00 AM,Clear,clear sky
22,4/30/22,2:00:00 AM,Clear,clear sky
23,4/30/22,3:00:00 AM,Clear,clear sky
24,4/30/22,4:00:00 AM,Clear,clear sky
25,4/30/22,5:00:00 AM,Clear,clear sky
26,4/30/22,6:00:00 AM,Clear,clear sky
27,4/30/22,7:00:00 AM,Clear,clear sky
28,4/30/22,8:00:00 AM,Clear,clear sky
29,4/30/22,9:00:00 AM,Clear,clear sky
30,4/30/22,10:00:00 AM,Clear,clear sky
31,4/30/22,11:00:00 AM,Clear,clear sky
32,4/30/22,12:00:00 PM,Clear,clear sky
33,4/30/22,1:00:00 PM,Clear,clear sky
34,4/30/22,2:00:00 PM,Clear,clear sky
35,4/30/22,3:00:00 PM,Clear,clear sky
36,4/30/22,4:00:00 PM,Clear,clear sky
37,4/30/22,5:00:00 PM,Clear,clear sky
38,4/30/22,6:00:00 PM,Clear,clear sky
39,4/28/22,7:00:00 PM,Clear,clear sky
40,4/28/22,8:00:00 PM,Clear,clear sky
41,4/28/22,9:00:00 PM,Clear,clear sky
42,4/28/22,10:00:00 PM,Clear,clear sky
43,4/28/22,11:00:00 PM,Clear,clear sky
44,4/29/22,12:00:00 AM,Clear,clear sky
45,4/29/22,1:00:00 AM,Clear,clear sky
46,4/29/22,2:00:00 AM,Clear,clear sky
47,4/29/22,3:00:00 AM,Clear,clear sky
48,4/29/22,4:00:00 AM,Clear,clear sky
49,4/29/22,5:00:00 AM,Clear,clear sky
50,4/29/22,6:00:00 AM,Clear,clear sky
51,4/29/22,7:00:00 AM,Clear,clear sky
52,4/29/22,8:00:00 AM,Clear,clear sky
53,4/29/22,9:00:00 AM,Clear,clear sky
54,4/29/22,10:00:00 AM,Clear,clear sky
55,4/29/22,11:00:00 AM,Clear,clear sky
56,4/29/22,12:00:00 PM,Clear,clear sky
57,4/29/22,1:00:00 PM,Clear,clear sky
58,4/29/22,2:00:00 PM,Clear,clear sky
59,4/29/22,3:00:00 PM,Clear,clear sky
60,4/29/22,4:00:00 PM,Clear,clear sky
61,4/29/22,5:00:00 PM,Clear,clear sky
62,4/29/22,6:00:00 PM,Clear,clear sky
63,4/27/22,7:00:00 PM,Clouds,overcast clouds
64,4/27/22,8:00:00 PM,Clouds,broken clouds
65,4/27/22,9:00:00 PM,Clouds,broken clouds
66,4/27/22,10:00:00 PM,Clouds,broken clouds
67,4/27/22,11:00:00 PM,Clouds,broken clouds
68,4/28/22,12:00:00 AM,Clear,clear sky
69,4/28/22,1:00:00 AM,Clouds,overcast clouds
70,4/28/22,2:00:00 AM,Clouds,overcast clouds
71,4/28/22,3:00:00 AM,Clouds,overcast clouds
72,4/28/22,4:00:00 AM,Clouds,overcast clouds
73,4/28/22,5:00:00 AM,Clouds,overcast clouds
74,4/28/22,6:00:00 AM,Clouds,overcast clouds
75,4/28/22,7:00:00 AM,Clouds,overcast clouds
76,4/28/22,8:00:00 AM,Clouds,scattered clouds
77,4/28/22,9:00:00 AM,Clear,clear sky
78,4/28/22,10:00:00 AM,Clear,clear sky
79,4/28/22,11:00:00 AM,Clear,clear sky
80,4/28/22,12:00:00 PM,Clear,clear sky
81,4/28/22,1:00:00 PM,Clear,clear sky
82,4/28/22,2:00:00 PM,Clear,clear sky
83,4/28/22,3:00:00 PM,Clear,clear sky
84,4/28/22,4:00:00 PM,Clear,clear sky
85,4/28/22,5:00:00 PM,Clear,clear sky
86,4/28/22,6:00:00 PM,Clear,clear sky
87,4/26/22,7:00:00 PM,Clouds,overcast clouds
88,4/26/22,8:00:00 PM,Rain,light rain
89,4/26/22,9:00:00 PM,Clouds,overcast clouds
90,4/26/22,10:00:00 PM,Clouds,overcast clouds
91,4/26/22,11:00:00 PM,Clouds,overcast clouds
92,4/27/22,12:00:00 AM,Clouds,broken clouds
93,4/27/22,1:00:00 AM,Clouds,overcast clouds
94,4/27/22,2:00:00 AM,Clouds,broken clouds
95,4/27/22,3:00:00 AM,Clouds,few clouds
96,4/27/22,4:00:00 AM,Clouds,overcast clouds
97,4/27/22,5:00:00 AM,Clouds,few clouds
98,4/27/22,6:00:00 AM,Clear,clear sky
99,4/27/22,7:00:00 AM,Clear,clear sky
100,4/27/22,8:00:00 AM,Clear,clear sky
101,4/27/22,9:00:00 AM,Clear,clear sky
102,4/27/22,10:00:00 AM,Clouds,few clouds
103,4/27/22,11:00:00 AM,Clouds,broken clouds
104,4/27/22,12:00:00 PM,Clouds,broken clouds
105,4/27/22,1:00:00 PM,Clouds,overcast clouds
106,4/27/22,2:00:00 PM,Clouds,broken clouds
107,4/27/22,3:00:00 PM,Clear,clear sky
108,4/27/22,4:00:00 PM,Clear,clear sky
109,4/27/22,5:00:00 PM,Clouds,few clouds
110,4/27/22,6:00:00 PM,Clouds,overcast clouds
111,4/25/22,7:00:00 PM,Clouds,broken clouds
112,4/25/22,8:00:00 PM,Clouds,broken clouds
113,4/25/22,9:00:00 PM,Clouds,broken clouds
114,4/25/22,10:00:00 PM,Clouds,broken clouds
115,4/25/22,11:00:00 PM,Clouds,overcast clouds
116,4/26/22,12:00:00 AM,Clouds,overcast clouds
117,4/26/22,1:00:00 AM,Clouds,overcast clouds
118,4/26/22,2:00:00 AM,Clouds,overcast clouds
119,4/26/22,3:00:00 AM,Clouds,overcast clouds
120,4/26/22,4:00:00 AM,Clouds,overcast clouds
121,4/26/22,5:00:00 AM,Clouds,overcast clouds
122,4/26/22,6:00:00 AM,Clouds,overcast clouds
123,4/26/22,7:00:00 AM,Clouds,overcast clouds
124,4/26/22,8:00:00 AM,Mist,mist
125,4/26/22,9:00:00 AM,Haze,haze
126,4/26/22,10:00:00 AM,Mist,mist
127,4/26/22,11:00:00 AM,Clouds,overcast clouds
128,4/26/22,12:00:00 PM,Clouds,overcast clouds
129,4/26/22,1:00:00 PM,Clouds,overcast clouds
130,4/26/22,2:00:00 PM,Mist,mist
131,4/26/22,3:00:00 PM,Drizzle,light intensity drizzle
132,4/26/22,4:00:00 PM,Mist,mist
133,4/26/22,5:00:00 PM,Clouds,broken clouds
134,4/26/22,6:00:00 PM,Rain,moderate rain
135,4/24/22,12:00:00 AM,Clouds,overcast clouds
136,4/24/22,1:00:00 AM,Clouds,overcast clouds
137,4/24/22,2:00:00 AM,Clouds,overcast clouds
138,4/24/22,3:00:00 AM,Clouds,overcast clouds
139,4/24/22,4:00:00 AM,Clouds,overcast clouds
140,4/24/22,5:00:00 AM,Clouds,overcast clouds
141,4/24/22,6:00:00 AM,Clouds,overcast clouds
142,4/24/22,7:00:00 AM,Clouds,overcast clouds
143,4/24/22,8:00:00 AM,Clouds,overcast clouds
144,4/24/22,9:00:00 AM,Clouds,overcast clouds
145,4/24/22,10:00:00 AM,Clouds,overcast clouds
146,4/24/22,11:00:00 AM,Clouds,overcast clouds
147,4/24/22,12:00:00 PM,Clouds,overcast clouds
148,4/24/22,1:00:00 PM,Clouds,overcast clouds
149,4/24/22,2:00:00 PM,Clouds,overcast clouds
150,4/24/22,3:00:00 PM,Clouds,few clouds
151,4/24/22,4:00:00 PM,Clear,clear sky
152,4/24/22,5:00:00 PM,Clear,clear sky
153,4/24/22,6:00:00 PM,Clear,clear sky
154,4/24/22,7:00:00 PM,Clouds,few clouds
155,4/24/22,8:00:00 PM,Clouds,few clouds
156,4/24/22,9:00:00 PM,Clouds,few clouds
157,4/24/22,10:00:00 PM,Clouds,few clouds
158,4/24/22,11:00:00 PM,Clear,clear sky
159,4/23/22,12:00:00 AM,Clouds,overcast clouds
160,4/23/22,1:00:00 AM,Clouds,overcast clouds
161,4/23/22,2:00:00 AM,Clouds,overcast clouds
162,4/23/22,3:00:00 AM,Clouds,overcast clouds
163,4/23/22,4:00:00 AM,Clouds,overcast clouds
164,4/23/22,5:00:00 AM,Clouds,overcast clouds
165,4/23/22,6:00:00 AM,Clouds,overcast clouds
166,4/23/22,7:00:00 AM,Clouds,overcast clouds
167,4/23/22,8:00:00 AM,Clouds,overcast clouds
168,4/23/22,9:00:00 AM,Clouds,overcast clouds
169,4/23/22,10:00:00 AM,Clouds,overcast clouds
170,4/23/22,11:00:00 AM,Clouds,overcast clouds
171,4/23/22,12:00:00 PM,Clouds,overcast clouds
172,4/23/22,1:00:00 PM,Clouds,overcast clouds
173,4/23/22,2:00:00 PM,Clouds,overcast clouds
174,4/23/22,3:00:00 PM,Clouds,overcast clouds
175,4/23/22,4:00:00 PM,Clouds,overcast clouds
176,4/23/22,5:00:00 PM,Clouds,overcast clouds
177,4/23/22,6:00:00 PM,Clouds,overcast clouds
178,4/23/22,7:00:00 PM,Clouds,overcast clouds
179,4/23/22,8:00:00 PM,Clouds,overcast clouds
180,4/23/22,9:00:00 PM,Clouds,overcast clouds
181,4/23/22,10:00:00 PM,Clouds,overcast clouds
182,4/23/22,11:00:00 PM,Clouds,overcast clouds
183,4/25/22,12:00:00 AM,Clouds,overcast clouds
184,4/25/22,1:00:00 AM,Clouds,overcast clouds
185,4/25/22,2:00:00 AM,Clouds,overcast clouds
186,4/25/22,3:00:00 AM,Clouds,overcast clouds
187,4/25/22,4:00:00 AM,Clouds,overcast clouds
188,4/25/22,5:00:00 AM,Clouds,overcast clouds
189,4/25/22,6:00:00 AM,Clouds,overcast clouds
190,4/25/22,7:00:00 AM,Clouds,overcast clouds
191,4/25/22,8:00:00 AM,Clouds,overcast clouds
192,4/25/22,9:00:00 AM,Clouds,overcast clouds
193,4/25/22,10:00:00 AM,Clouds,overcast clouds
194,4/25/22,11:00:00 AM,Clouds,overcast clouds
195,4/25/22,12:00:00 PM,Clouds,overcast clouds
196,4/25/22,1:00:00 PM,Clouds,overcast clouds
197,4/25/22,2:00:00 PM,Clouds,overcast clouds
198,4/25/22,3:00:00 PM,Clouds,overcast clouds
199,4/25/22,4:00:00 PM,Clouds,overcast clouds
200,4/25/22,5:00:00 PM,Clouds,overcast clouds
201,4/25/22,6:00:00 PM,Clouds,broken clouds
